time_s,ref_deg,actual_deg,error_deg,current_A
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,3.947368421052632303e-05,-1.256868195685930474e-04,1.651605037791193569e-04,4.209282002203651452e+00
2.000000000000000042e-03,1.578947368421052921e-04,-3.387935239760156187e-04,4.966882608181209108e-04,7.199051666270472438e+00
3.000000000000000062e-03,3.552631578947368666e-04,-6.120816121018029425e-04,9.673447699965399176e-04,9.327186362282247956e+00
4.000000000000000083e-03,6.315789473684211685e-04,-9.261050112440240333e-04,1.557683958612445093e-03,1.084651120701384386e+01
5.000000000000000104e-03,9.868421052631579267e-04,-1.266923975134380456e-03,2.253766080397538382e-03,1.193563653897311028e+01
6.000000000000000125e-03,1.421052631578947466e-03,-1.624490046635187384e-03,3.045542678214134633e-03,1.272074323205486834e+01
7.000000000000000146e-03,1.934210526315789571e-03,-1.991505098020521572e-03,3.925715624336310709e-03,1.329097305711835197e+01
8.000000000000000167e-03,2.526315789473684674e-03,-2.362615286160202506e-03,4.888931075633887180e-03,1.370930129246638352e+01
9.000000000000001055e-03,3.197368421052631908e-03,-2.733841610320629847e-03,5.931210031373261755e-03,1.402021774277930888e+01
1.000000000000000021e-02,3.947368421052631707e-03,-3.102177619295990157e-03,7.049546040348621430e-03,1.425515303963524261e+01
1.099999999999999936e-02,4.776315789473683203e-03,-3.465305202191391789e-03,8.241620991665074558e-03,1.443631208309067659e+01
1.200000000000000025e-02,5.684210526315789866e-03,-3.821393800123831959e-03,9.505604326439622692e-03,1.457938219879720876e+01
1.300000000000000114e-02,6.671052631578948226e-03,-4.168958551150668893e-03,1.084001118272961625e-02,1.469544633136270306e+01
1.400000000000000029e-02,7.736842105263158284e-03,-4.506760068954191595e-03,1.224360217421734988e-02,1.479233463094288048e+01
1.499999999999999944e-02,8.881578947368420907e-03,-4.833733633969890253e-03,1.371531258133831116e-02,1.487557928946351282e+01
1.600000000000000033e-02,1.010526315789473870e-02,-5.148939163141057901e-03,1.525420232103579486e-02,1.494908909023613752e+01
1.700000000000000122e-02,1.140789473684210818e-02,-5.451525858889054096e-03,1.685942059573116228e-02,1.501562594747007218e+01
1.800000000000000211e-02,1.278947368421052763e-02,-5.740707228334912017e-03,1.853018091254543878e-02,1.507714156039474140e+01
1.899999999999999953e-02,1.425000000000000051e-02,-6.015743428679258369e-03,2.026574342867925801e-02,1.513501524453467084e+01
2.000000000000000042e-02,1.578947368421052683e-02,-6.275928788223118782e-03,2.206540247243364561e-02,1.519022194900902178e+01
2.100000000000000130e-02,1.740789473684210831e-02,-6.520582983783954935e-03,2.392847772062606237e-02,1.524345095334198774e+01
2.199999999999999872e-02,1.910526315789473281e-02,-6.749044801226803704e-03,2.585430795912153565e-02,1.529518972152667544e+01
2.299999999999999961e-02,2.088157894736842116e-02,-6.960667720885423647e-03,2.784224666825384567e-02,1.534578314122792975e+01
2.400000000000000050e-02,2.273684210526315946e-02,-7.154816792220718320e-03,2.989165889748387692e-02,1.539547537367336894e+01
2.500000000000000139e-02,2.467105263157894773e-02,-7.330866419301342030e-03,3.200191905088028976e-02,1.544443941876383875e+01
2.600000000000000228e-02,2.668421052631579291e-02,-7.488198789772766879e-03,3.417240931608855892e-02,1.549279800152914177e+01
2.699999999999999969e-02,2.877631578947368457e-02,-7.626202758455206954e-03,3.640251854792889152e-02,1.554063832749758234e+01
2.800000000000000058e-02,3.094736842105263314e-02,-7.744273052149276519e-03,3.869164147320190705e-02,1.558802250672393974e+01
